image	caption
/content/MediaEval_NewsImages/Training Dataset/UVZaBl1bUBF-XR8FAA5TWQhWQS4HGFdQ.jpg	Both the left and the right understand the gender debate wrong The cultural struggle for gender and gender has strongly polarized Western societies. Both sides represent extreme positions and both extremes are wrong. Time for a powerful dose reality.
/content/MediaEval_NewsImages/Training Dataset/UVZbVVsIUkZ-XR8FAA5TXF5TR3NXGF8D.jpg	Dead on the compost? – California legalizes controversial burial method Traditionally you can choose between two funeral possibilities: In California, however, there will soon be a third possibility – human composting.
/content/MediaEval_NewsImages/Training Dataset/UVZbVQgMVEp-XR8FAA5SWggBRHtXQQUB.jpg	Germany calls for ban on EU citizens to dress positions in Russian companies The case Gerhard Schröder does not leave the chancellor's office alone. As the Süddeutsche Zeitung reports, the German government now wants to impose a ban on EU citizens at European level to be active in Russian companies in an elevated position.
/content/MediaEval_NewsImages/Training Dataset/UVZbVF1fXEd-XR8FAA5QCw9WRy4EGlAH.jpg	Fire in Altenheim near Oldenburg: Three seniors die The fire in an old home in Wardenburg demanded three people. For three seniors, every help came too late. Ten more people were partially seriously injured. The cause of fire is still unexplained.
/content/MediaEval_NewsImages/Training Dataset/UVZbVF1VVUp-XR8FAA5TXF5TR3NXGANW.jpg	Electoral victory for Giorgia Meloni: Mitte-rechts-Bündnis wins absolute majority in Italy Giorgia Meloni could become the first Prime Minister of Italy. Their alliance of right-wing conservative parties has won the election in Italy. The social-liberal Democratic Party is already defeated.
/content/MediaEval_NewsImages/Training Dataset/UVZbVFxUUBZ-XR8FAA5QDFUERS0EG18H.jpg	Establishment of the electoral alternative Social List Future – Social Policy should be re-electable In the new election alternative Social List Future, politically left-oriented people organize themselves, who do not see themselves represented by the current policy of left-wing parties. The SLZ demands in terms of sanctions, coronary politics and the welfare state are clearly different from the Left Party agenda.
/content/MediaEval_NewsImages/Training Dataset/UVZbVF9ZXEApUUFXBgtVDFlcQHhQQAUH.jpg	High participation in referendums in Donbas – despite bombing, terror and fake news ‘Preview’ align=‘left’ style=‘margin-right: 10px ’ src=’https://cdni.russiatoday.com/english/images/2022.09/thumbnail/63316492b480cc0e492359bb.jpg’ /> Endless bullet countries and dead civilians, terror and enormous pressure on electoral observers However, the turnout is almost everywhere high.
/content/MediaEval_NewsImages/Training Dataset/UVZbVFxUB0R-XR8FAA5SWggBRHtXQQNc.jpg	Pfizer CEO tested positive for COVID-19 for the second time within six weeks The Pfizer boss, Albert Bourla, was tested positively for COVID-19 for the second time within six weeks – although he was vaccinated four times. The managing director of the largest pharmaceutical company in the world explained, he feels good and is symptom-free.
/content/MediaEval_NewsImages/Training Dataset/UVZbVF5fUEIpUUFXBgtVWAtWQikASVID.jpg	Chancellor Scholz and Federal Minister Faeser tested positively on Corona government spokesman Steffen lifting dispute confirmed the findings on Monday in Berlin. The chancellor has mild cold symptoms and immediately enters his residences in the Federal Chancellery in isolation. Monday morning, the Federal Minister of the Interior also confirmed her positive Corona test.
/content/MediaEval_NewsImages/Training Dataset/UVZbVF8LUhF-XR8FAA5TXF5TR3NXGAIG.jpg	At least 13 dead in shooting at Russian school – perpetrators wore Nazi symbols A man dressed with a t-shirt with Nazi symbols has opened fire to people in a school in the Russian city of Ishevsk. According to the latest information, 13 people, including seven children, have died.
/content/MediaEval_NewsImages/Training Dataset/UVZbVF9fAEMpUUFXBgtUWl1RQnlWG1cH.jpg	USA and South Korea begin sea maneuvers in front of Korean Peninsula In the midst of tensions in the region, the USA and South Korea launch common marine exercises. U.S. Navy ships arrive in a South Korean port. Meanwhile, North Korea fires another ballistic missile towards the Japanese Sea.
/content/MediaEval_NewsImages/Training Dataset/UVZbVF4IURR-XR8FAA5QXAldQHxVGAVc.jpg	Russia: Man opens fire in convocation – head of authorities seriously injured A young man opened fire on Monday at a convocation in the Irkutsk area. The head of the place was seriously injured, he is in the intensive care unit. The perpetrator should have acted from annoyance on Moscow's partial mobilization.
/content/MediaEval_NewsImages/Training Dataset/UVZbVFBdVkR-XR8FAA5QDFUERS0EGwRX.jpg	NATO flies up to 35 air-conditioning flights per week along the Belarusian border Approximately 35 flights per week are carried out by NATO aircraft along the Belarusian border It also refers to a large-scale reinforcement of the forces of the alliance in Eastern Europe.
/content/MediaEval_NewsImages/Training Dataset/UVZbVFwJUkF-XR8FAA5QC1hUQ3NcGgVc.jpg	Bittsteller Scholz am Golf – When from moral claim hypocrisy becomes Chancellor Scholz traveled to the Gulf States. The contracts negotiated there are clear. Moral questions, with which the departure of Russian energy sources is justified, were of virtually no importance during the Bittsteller visit at the Gulf.
/content/MediaEval_NewsImages/Training Dataset/UVZbVAgPVkYpUUFXBgtVWFsBR3NcTlcA.jpg	EU proposal failed: No agreement on the oil price cover On weekends, the EU Commission tried to enforce the next penalty package against Russia. The reason is to be the referendums  the oil price cover desired by the USA is the central proposal. But Cyprus and Hungary should have resisted.
/content/MediaEval_NewsImages/Training Dataset/UVZbVAgOVRB-XR8FAA5RDAgDQH9TGFJX.jpg	Bravo, Giorgia! – Orbán, Le Pen, Morawiecki enthuses from the elections in Italy The legal alliance of the Italian politician Giorgia Meloni has decided the parliamentary elections in Italy. The reactions in Europe are mixed. While the conservative parties cheer, liberal forces paint a new fascism on the wall.
/content/MediaEval_NewsImages/Training Dataset/UVZbVFAOVEIpUUFXBgtSUVhcRXhWTldW.jpg	Scheinberichte über Scheinreferenden – A German energy manager should lose job Almost all German mainstream media are unanimously concerned with the The NDR even explained to me why it is. At the same time, an election observer was likely to start his job in a short time.
/content/MediaEval_NewsImages/Training Dataset/UVZbVAgLVBN-XR8FAA5SWggBRHtXQFNT.jpg	No fear of sanctions: American rap star appears in Moscow despite US warnings Despite warnings from the U.S. Foreign Ministry, the famous American rapper came to Russia 6IX9.
/content/MediaEval_NewsImages/Training Dataset/UVZbVFFbBkEpUUFXBgtSDFxQQHlcTAVT.jpg	Reuters: USA is facing natural gas shortage According to a recent report by Reuters, natural gas production in the USA is declining. On the occasion of an increased gas demand for heating, demand in the United States now arises to throttle natural gas supplies to Europe.
/content/MediaEval_NewsImages/Training Dataset/UVZbVFBYAEspUUFXBgtVWg9QRn5QHwNQ.jpg	Russian election observation: from German side not desired There are German electoral observers with the speakers in Donetsk, Lugansk, Saporozhje and Cherson. From the German side, however, they are not desired, even if they regularly perform the activity. One of them was now released as managing director of a municipal company.
/content/MediaEval_NewsImages/Training Dataset/UVZbVApUA0YpUUFXBgtVWg9QRn5TSVZT.jpg	New domestic command of the Bundeswehr: control of unstable locations inside and Propaganda A new command of the Bundeswehr is responsible for the control of unstable positions and hybrid influence inside. At any time, it can now take over the operative leadership in situations of use for home protection. This includes the fight against propaganda in media and social networks.
/content/MediaEval_NewsImages/Training Dataset/UVZbVAtfUhApUUFXBgtVWFsBR3NcTlZd.jpg	Dark Christmas? Environmental aid wants to ban private lighting equipment The German environmental aid demands a waiver of Christmas lighting – given the high power consumption at Christmas. A maximum of one tree per city and municipality should be illuminated, according to Federal Managing Director Resch. By omitting, the Christmas season could become a very special.
/content/MediaEval_NewsImages/Training Dataset/UVZbVAxZUkIpUUFXBgtQUFgDQ38GQAID.jpg	Whistleblower Edward Snowden becomes Russian citizen Edward Snowden is due to the fact that data has been well known from His escape from the US authorities in 2013 was adventurous. After over eight years in Russia, he has now received citizenship.
/content/MediaEval_NewsImages/Training Dataset/UVZbVApaUEcpUUFXBgtUDAhRR30HG18G.jpg	Prospects for 2023: recession and continued inflation Just in one direction: down. On the other hand, inflation is increasing steadily.
/content/MediaEval_NewsImages/Training Dataset/UVZbVAtZBBcpUUFXBgtVWFsBR3NcTlVU.jpg	Lukashenko: Without due respect no dialogue with the West Neither Belarus nor Russia will accept a humiliation through Western countries, said Belarusian President Lukashenko at a meeting with his Russian counterpart in Sochi.
/content/MediaEval_NewsImages/Training Dataset/UVZbVFAJUBcpUUFXBgtSDFxQQHlcTAME.jpg	British Pound Breaks: Historical Deep to Dollar European currencies remain under pressure. The British pound records on a historical low compared to the dollar. But the euro is also weak. The risks in Europe outweigh.
/content/MediaEval_NewsImages/Training Dataset/UVZbVA8OXUR-XR8FAA5SWggBRHtXQF8H.jpg	Russia has Japanese consul for espionage A Japanese diplomat was caught by the Russian spy defense when he tried to obtain confidential information. Now he has to leave the country within 48 hours.
/content/MediaEval_NewsImages/Training Dataset/UVZbVAwIA0cpUUFXBgtRDAxQRChRGAZR.jpg	ECB warns: The prospects are dying The ECB has reduced its growth forecast and continues to raise interest rates, but predicts that inflation will continue to rise. ECB-Chefin Lagarde sees the cause in interruptions of gas supply  Governments should be careful not to increase inflation pressure.
/content/MediaEval_NewsImages/Training Dataset/UVZbV1leA0MpUUFXBgtQXF9TQnhXTl9T.jpg	Pressure drop: Nord Stream 2 partially broken There was an incident on the Baltic Sea pipeline. Apparently, a leak has led to a massive pressure drop. The cause is so far unclear.
/content/MediaEval_NewsImages/Training Dataset/UVZbVFBcV0YpUUFXBgtVWg9QRn5QHwQB.jpg	Strength or weakness? What could lead to the renewed threat of US sanctions against Venezuela? The U.S. Department of Foreign Affairs threatened Caracas with new sanctions, the government of Maduro should further delay the dialogue process with the opposition. President Biden may take this step for the half-time elections to vote for the exile latinos in the USA. He doesn't make friends in South America.
/content/MediaEval_NewsImages/Training Dataset/UVZbVFEPA0YpUUFXBgtSDFxQQHlcTAUA.jpg	The mainstream source OVD-Info independent? No, financed by the West German media cite in connection with protests against partial mobilization as allegedly Russian media. However, the organisation is financed by the West and is prohibited in Russia. It is not independent, it is committed to the Western narrative.
/content/MediaEval_NewsImages/Training Dataset/UVZbVA1YARR-XR8FAA5RDFpQR3lQGldc.jpg	Latvian authorities forbid commemoration of the liberation of the Salaspils NS extermination camp Because it is the Red Army and thus a totalitarian regime.
/content/MediaEval_NewsImages/Training Dataset/UVZbV1kLUUd-XR8FAA5QWVkHQnpcTQUE.jpg	Montagsdemos: Tens of thousands protest against high energy prices and anti-Russian sanctions This week, too, many people are pushing the streets to protest the anti-Russian sanctions and the Corona policy of the Ampel coalition in Berlin. The focus was again East Germany.
/content/MediaEval_NewsImages/Training Dataset/UVZbVFEPVREpUUFXBgtSDAhWRylUHQJT.jpg	Power weather report: French television wants to change habits of the French France Télévisions and the French electricity grid operator RTE want to use coloured pictograms on the TV screen to encourage the French to save energy. The aim is to save at least five percent of electricity in the evening at 7 p.m.
/content/MediaEval_NewsImages/Training Dataset/UVZbV1BUXUMpUUFXBgtRUAlRQ3tXTQVT.jpg	Pressure drop in both North Stream pipelines: Speculations on Ukraine's terrorist acts On Monday, a pressure drop was registered in the Nord Stream 2 pipeline. Nord Stream 1 is now also affected. Searching for the causes takes time. On the Internet, assumptions are being made about a terrorist attack by the Ukrainian secret service.
/content/MediaEval_NewsImages/Training Dataset/UVZbV1BdV0t-XR8FAA5RD19SRX0AHQNT.jpg	FDP Group Vice-President Köhler: As many coal-fired power plants as possible back to the network The only possible response to the imminent energy crisis is for the FDP nuclear and coal power plants. Group Vice-President Lukas Köhler wants, to protect people and businesses, to switch all capacities to the network as much as possible. But this would only be reindeer if a continued operation is secured by 2024.
/content/MediaEval_NewsImages/Training Dataset/UVZbVwgIXRR-XR8FAA5QW1gDQC9UHFVS.jpg	When will the EU finally deescalate? – Borrell wants more weapons for Ukraine The rules change when the referendums are completed and the results were recognised by the Russian Parliament. That's clear enough. But there is not the slightest sign that anyone in the West thinks about it. The slogan is Next!.
/content/MediaEval_NewsImages/Training Dataset/UVZbVwsJVxQpUUFXBgtRXw5QQngBHF4E.jpg	CDU CEO Merz complains about social tourism from Ukrainians to Germany – and apologizes for it CDU Chairman Friedrich Merz has criticized that the unemployment benefit II payments to refugees from Ukraine have led to a social tourism. There we have a problem that is getting bigger, he said to image TV. Merz reaped severe criticism for this and has now retired.
/content/MediaEval_NewsImages/Training Dataset/UVZaA1sPU0d-XR8FAA5SXlRRQikDTgVU.jpg	Did Biden cross the point with Taiwan where there is no return? The US President has once again declared that US soldiers will defend Taiwan against a possible Chinese aggression. Beijing will no longer watch such provocations.
/content/MediaEval_NewsImages/Training Dataset/UVZbVwgIBkQpUUFXBgtRXw5QQngBHF9d.jpg	Election observer in Donetsk? NDR journalist loses teaching assignment Journalist Patrick Baab observed the referendum in Donetsk as a journalist. He now lost his teaching assignment at the Hochschule für Medien, Kommunikation und Wirtschaft in Berlin. The leadership of the university called Baab's presence and work in Donetsk as a journalistic appearance.
/content/MediaEval_NewsImages/Training Dataset/UVZbVwxeUBF-XR8FAA5UWl9XRntSSAJQ.jpg	Kubicki summons Erdoğan as a channel rat – Turkey appoints German ambassadors FDP-Vize Wolfgang Kubicki took care of a campaign event with There he warned against a new wave of refugees and already knew who could trigger them: Erdoğan, the Channel Council. The Turkish Foreign Ministry is now talking about inacceptable statements.
/content/MediaEval_NewsImages/Training Dataset/UVZbVwpbBxYpUUFXBgtRXw5QQngBHAZR.jpg	Test for asteroid first case: NASA successfully launches space probe Countless science fiction film class have already thematized asteroid NASA is now testing the behaviour of an asteroid for the first time in a test. Whether or how the trajectory of the asteroid has actually been changed is still to be tested on the basis of the data obtained.
/content/MediaEval_NewsImages/Training Dataset/UVZbVw9aUUMpUUFXBgtXUAhWQXsETQFQ.jpg	NATO and Russia – a risky escalation course! Selensky shall conduct war of wear The situation between NATO and Russia is becoming increasingly acute, and it is being done by the US side to get Russia into a long-term war of wear. The strategies of the U.S. Department of Defense's think tank, shown a week ago, for the destabilization of Russia, open the eyes of everyone who wants to see. The title of the one paper Surve over and get out of balance says everything.
/content/MediaEval_NewsImages/Training Dataset/UVZbVlldXBN-XR8FAA5RDAgDQH9TG1dd.jpg	Sabotage? Kremlin about possible causes of North Stream pipeline damage Moscow cannot be excluded and it is considered possible that the pipelines have been damaged. Seismic activities found in Sweden seem to be consistent with the time of explosions.
/content/MediaEval_NewsImages/Training Dataset/UVZbVw9fB0ApUUFXBgtXUF5URC8AS1cG.jpg	It is all said – Greek Prime Minister deescalates in conflict with Ankara Although Turkish President Recgebep Tayip Erdoğan continues to be threatened with There is a deep friendship with the Turkish people, but also red lines, says Mitsotakis.
/content/MediaEval_NewsImages/Training Dataset/UVZbVwxaBBQpUUFXBgtXUF5URC8ASAEE.jpg	Report: Ex-head of Roskosmos could represent a new federation after the referendums The fate of the head of the Russian Space Agency has not been known since July. According to a report, Dmitri Rogosin could soon become the president's messenger in a new federation. This is supposed to arise after the referendums in the east and south of Ukraine.
/content/MediaEval_NewsImages/Training Dataset/UVZbVllcBBF-XR8FAA5QWVkHQnpcTFIE.jpg	Who sabotaged the Nord Stream tubes? The list of suspects is comparatively short Really? Should NATO's surveillance data be so bad? The probability is much higher that the perpetrators are within this alliance ...
/content/MediaEval_NewsImages/Training Dataset/UVZbVlgIBhN-XR8FAA5SXFxWQn9WQVVQ.jpg	Media report: Ampel will tip Habeck's gas envelope According to information from FAZ, the gas envelope planned by Federal Minister of Economic Affairs Robert Habeck is to be tipped by the traffic lights on tomorrow Wednesday. As an alternative, there should be a gas price brake to which the FDP applies conditions.
/content/MediaEval_NewsImages/Training Dataset/UVZbVw8JAEN-XR8FAA5QW1gDQC9UHF9c.jpg	AfD North Rhine-Westphalia throws MEP Christian Blex on Russia trip from the group After acquaintance with the Russian journey of five AfD party members, the participating member Christian Blex, after prior announcement, was excluded from his group by a clear majority. Blex was not present at the vote.
/content/MediaEval_NewsImages/Training Dataset/UVZbVw8IBhF-XR8FAA5QWVlSQHtXH14H.jpg	From the Leyen in the USA: Democracy and Polit scandal The University of Princeton has visited Leyen last week. In a fundamental speech, she conjures democracy. At the same time, she pleads for a confrontation of the West with Russia and China. It is clear that the EU President of the Commission is led by Washington.
/content/MediaEval_NewsImages/Training Dataset/UVZbVlpdA0ApUUFXBgtXC1hSRnNWHAEG.jpg	Polish Foreign Minister thanks the USA for the explosives of Nord Stream 2 On Twitter, Polish former Foreign Minister Radosław Sikorski was pleased to see the damages of the two North Stream lines and settled in the question of the author of the sabotage file.
/content/MediaEval_NewsImages/Training Dataset/UVZbVlhfUUR-XR8FAA5QW1gDQC9UHAUA.jpg	Gas leaks on North Stream pipelines – Russian and Western professionals suspect sabotage The damage to the North Stream gas pipelines under the Baltic Sea has led to a massive drop in pressure. The cause of the incidents has not yet been resolved. However, both Russian and Western experts speak of sabotage.
/content/MediaEval_NewsImages/Training Dataset/UVZbVlpbBBR-XR8FAA5SWwlQRHIBGwJV.jpg	Roger Waters writes a letter to Putin: Stop each other and the world in the air In an open letter to Russian President Vladimir Putin, British musician Roger Waters has asked a number of questions about the situation in Ukraine. Waters stressed that he knows people who fear that Russia wants to take over Europe.
/content/MediaEval_NewsImages/Training Dataset/UVZbVwxcXEB-XR8FAA5QWVkHQnpcTFYH.jpg	Is the fear of Western elites from Giorgia Meloni just theatre? After the election of Giorgia Meloni, concern for the political orientation in Italy and the alleged loss of democracy is often expressed. The question is whether the new head of government will actually be freed from EU protection. Their transatlantic network is opposed.
/content/MediaEval_NewsImages/Training Dataset/UVZbVlhdBEp-XR8FAA5RD19SRX0AHFJX.jpg	Energy, financial and refugee crisis: Countries call for more support from the federal government Bund and Länder are currently fighting over a third relief package to tackle the many crises. However, in the light coalition's opinion, this is to co-finance the countries, but the prime ministers are waving. The federal government can also temporarily lift the debt brake.
/content/MediaEval_NewsImages/Training Dataset/UVZbVlxfV0Z-XR8FAA5SWwlQRHIBGwEE.jpg	Former US Foreign Minister Mike Pompeo calls Taiwan an independent state Former U.S. Foreign Minister Mike Pompeo made a speech at the Global Taiwan Business Forum in Kaohsiung City. He described Taiwan as an independent state, although the US officially adheres to the Ein-China policy.
/content/MediaEval_NewsImages/Training Dataset/UVZbVFBcB0N-XR8FAA5SWggBRHtXQFcA.jpg	When factories become museums – your industrialization escalates with the energy crisis The industrial revolution began once in Europe. In the last 40 years, many governments in Europe set an end to industry and to the rise of services, until then the swing towards industry came again – but at the current energy prices, businesses migrate.
/content/MediaEval_NewsImages/Training Dataset/UVZbVltVARF-XR8FAA5UWl9XRntSS1NX.jpg	The EU condemns itself to dedustriization For the waiver of Russian gas and the transition to renewable energy sources, more than half a trillion euros are needed in the EU. However, the actual costs of such a step will be much higher. Europe is at risk of losing its industry and becoming an agricultural union.
/content/MediaEval_NewsImages/Training Dataset/UVZbVw9VUUIpUUFXBgtXUF5URC8AS1ZR.jpg	Double morale: Uli Hoeneß and the king of the hypocrites Bayern-Legende Uli Hoeneß calls on television and defends W This makes everything much better, critics are hypocritical. In doing so, human rights are quite instrumentalized – but this is not exactly what Hoeneß does.
/content/MediaEval_NewsImages/Training Dataset/UVZbVw0JA0QpUUFXBgtXCF9VQnxVHwFR.jpg	Torture courses in the Australian military: Must perform sexual actions in a child doll So Australian soldiers are prepared for a possible capture in war, Accordingly, trainers should have staged traumatic situations, including simulated child rape.
/content/MediaEval_NewsImages/Training Dataset/UVZbVl9eUhcpUUFXBgtUXg5UQHsEGF5W.jpg	Selensky's Chief of Staff threatens mobilized Russians with death Andrei Jermak, the Chief of Staff of the Ukrainian President, threatened to mobilize Russian soldiers. Mobilized reservoirs that do not surrender to the Ukrainian military would have to face death, according to Ukrainian politician
/content/MediaEval_NewsImages/Training Dataset/UVZbVw1eVBZ-XR8FAA5RD19SRX0AHQEA.jpg	Why Georgia does not want to open a second front against Russia Ukraine calls for a second front against Russia. Above all, this demand is addressed to the address of Georgia. Even though this is probably more likely to mean economic sanctions against Moscow than a fight, Tbilisi reacts reserved. For good reasons.
/content/MediaEval_NewsImages/Training Dataset/UVZbVgxVVkApUUFXBgtTDA9RQy9STl4G.jpg	PCK Schwedt: Poland uses Germany's oil dependence and demands expropriation For reasons of economic viability, the PCK refinery in Schwedt is dependent on oil deliveries via the port in Gdansk. Poland uses Germany's dependence on the demand for a complete expropriation of Russia's Rosneft.
/content/MediaEval_NewsImages/Training Dataset/UVZbVlkMVBN-XR8FAA5RDAgDQH9TG1Zc.jpg	Respondent: Bad news for Baerbock, Lanz and other fairytale counters There is no accusation that German government representatives would not have said against Russia. These are readily recounted by the media. The extent of the refusal of reality has thus assumed grotesque, straight-to-short trains.
/content/MediaEval_NewsImages/Training Dataset/UVZbVFBfAEp-XR8FAA5QDA9RRnxQQVdU.jpg	Sweden: Difficult government formation after change of power – EU in concern The right-wing Swedish democrats recorded on the 11th parliamentary elections September a record result. Central issues in the election campaign were gang crime and immigration – but also inflation and energy crisis. The EU looks with regret at the victory of the right camp.
/content/MediaEval_NewsImages/Training Dataset/UVZbVg9cABN-XR8FAA5SX1lcQi9XHVcA.jpg	Nord-Stream-Sabotage: EU threatens to shamely possible measures – against unknown perpetrators The EU Commission President Ursula von der Leyen reacted to the two explosions and three leaks on the North Stream pipelines. Possible perpetrators or suspects were not named. From the Leyen chose the term seed action.
/content/MediaEval_NewsImages/Training Dataset/UVZbUVlbUEApUUFXBgtTXFlTQ35WQF5X.jpg	Mutual expressions of sympathy between Selensky and Meloni After the clear election victory of the legal coalition of Giorgia Meloni in Italy, there were many congratulations, but also overwhelming words. The congratulations of the Ukrainian President Vladimir Selensky, as well as the Melonis answer, were particularly warm.
/content/MediaEval_NewsImages/Training Dataset/UVZbUVlVUUcpUUFXBgtSWFxWQCoAH1JV.jpg	Cybersecurity: Baerbock sees repeating requirements for Germany According to German Foreign Minister Annalena Baerbock, the war in Ukraine has shown that the fight against cyber attacks requires even greater efforts. Emergency also by changing the Basic Law.
/content/MediaEval_NewsImages/Training Dataset/UVZbUVgJXRR-XR8FAA5SXF5cQC1RSQNW.jpg	British banks put credit award A stronger US dollar and doubts about the budgets of Prime Minister Liz Truss dropped the British pound to a record depth on Monday. Several British banks are now responding by not wanting to forgive certain loans.
/content/MediaEval_NewsImages/Training Dataset/UVZbUVtUXRQpUUFXBgtTDVpSRy9VTVRV.jpg	US Embassy in Moscow urges US citizens to leave Russia immediately The US Embassy in Moscow urges US citizens to leave Russia immediately. The reason for the call is the partial mobilization in Russia. According to diplomatic representation, U.S. citizens could be convened with double citizenship.
/content/MediaEval_NewsImages/Training Dataset/UVZbUVsPXEt-XR8FAA5SCA8AQC4ESFNR.jpg	Nord Stream in the media: Russia was it – or yet the USA? The mainstream and alternative media are largely in agreement with what is happening with Nord Stream. It's sabotage. There is no agreement on the question of the possible persons responsible. The mainstream says Russia. The alternative media point towards the USA.
/content/MediaEval_NewsImages/Training Dataset/UVZbUVlUAEB-XR8FAA5SXF4BRS0BS1VR.jpg	North Stream sabotage: At the same time NATO exercises for unmanned maritime systems Immediately in two NATO exercises marine systems were trained in this month. In the light of the attacks on the Nord Stream pipelines, a closer look at the maneuvers REPMUS-22 and DYNAMIC MESSENGER 22.
/content/MediaEval_NewsImages/Training Dataset/UVZbUVoMU0opUUFXBgtTD14ERX5VTwYH.jpg	Media report: Nord Stream 1 and 2 probably permanently destroyed In the meantime no one believes in an accident. German security authorities, including the BND, also speak of an attack. It is even possible that the damage to Nord Stream 1 and Nord Stream 2 would no longer be possible.
/content/MediaEval_NewsImages/Training Dataset/UVZbUVpfBxB-XR8FAA5SXF4BRS0BS1JT.jpg	Israel does not want to acknowledge referendums in eastern Ukraine The Israeli Ministry of Foreign Affairs stated on Tuesday that it does not want to recognise the referendums in eastern Ukraine. Rather, Israel acknowledged the sovereignty and territorial integrity of Ukraine, the statement said.
/content/MediaEval_NewsImages/Training Dataset/UVZbUVpfUkQpUUFXBgtSWFwAQ3tVG1dS.jpg	Berliner Chaos-Wahl: Constitutional Court considers repetition necessary A repetition of the Berlin Chamber of Deputies is more likely. This is due to a first assessment of the Constitutional Court in Berlin, which is responsible for reviewing the election.
/content/MediaEval_NewsImages/Training Dataset/UVZbUVtZUEF-XR8FAA5WWwxWQX4BHFMH.jpg	Handicraft demo on 1. October: Demand for North Stream pipeline repair The Handwerker für den Frieden organize a demonstration against the rising energy costs in Berlin on 1 October. Many companies are close to insolvency and are considering a business task. Craftsmen therefore demand to stop the sanctions against Russia and take Nord Stream 1 and 2 into operation.
/content/MediaEval_NewsImages/Training Dataset/UVZbUVtZAEApUUFXBgtTD14ERX5VT18H.jpg	Referends: Freed areas ask Putin to enter the Russian Federation The heads of military-civil administrations in Cherson, Saporozhe and the People's Republic of Lugansk have asked Vladimir Putin to integrate the regions into the Russian Federation. The decision was made after referendums, in which the majority voted for joining Russia.
/content/MediaEval_NewsImages/Training Dataset/UVZbUVtdXUB-XR8FAA5SWwlQRHIBGlMG.jpg	The Russian retreat from the Charkow Oblast as a Gamechanger Was the Russian military caught by the Ukrainian offensive in space Khark Because this resulted in a strategic reorientation of Russia, the assumption is obvious that the advance of the Kiev troops was deliberately admitted.
/content/MediaEval_NewsImages/Training Dataset/UVZbUVsLURYpUUFXBgtTDQkHR3pSGlcA.jpg	Berlin: Federal Office of Public Prosecutor's Office Investigations against the former AfD member Jörg Meuth According to the party leader, no announcement was made by the authorities.
/content/MediaEval_NewsImages/Training Dataset/UVZbUV1fA0Z-XR8FAA5SWwlQRHIBGlAA.jpg	Entrepreneur Demo in the Erzgebirge – Sächsischer Constitutionalschutzchef: Not all right On Tuesday, many people went to the streets in eastern Germany to demonstrate the anti-Russian sanctions. In Annaberg-Buchholz there were several thousand entrepreneurs who, according to the president of the Saxon Constitution, could not all be called right.
/content/MediaEval_NewsImages/Training Dataset/UVZbVwxZVhApUUFXBgtXUVVWQS0EGFQE.jpg	Why the U.S. spreading false messages about alleged Russian nuclear threat of Ukraine In Washington, D.C., an action plan was drawn up in the event that Russia would use nuclear weapons in Ukraine. In addition, the White House in Moscow threatened with catastrophic consequences should such weapons be used. However, such plans were discontinued in Moscow. What is the aim of the United States to spread this vicious image of Russia's alleged nuclear plans?
/content/MediaEval_NewsImages/Training Dataset/UVZbUVpaVUd-XR8FAA5SXFxWQn9WQQJT.jpg	Suspicion of severe vaccination complications in children: authorities refuse to issue data The Paul-Ehrlich-Institut refuses to disclose to the press data on suspected cases of serious and fatal side effects in minors after a corona vaccination. After hundreds of messages last year, the numbers have been secreted since January.
/content/MediaEval_NewsImages/Training Dataset/UVZbUVxfUEB-XR8FAA5SXF4BRS0BS18E.jpg	Who threatens Ursula? - Sacharowa on European reaction to Nord Stream sabotage The spokeswoman of the Russian Ministry of Foreign Affairs Maria Sacharowa wonders who Ursula from the Leyen is threatening for the sabotage of Nord Stream. It stressed that the damage to the pipeline at three points would benefit only Poland and the United States.
/content/MediaEval_NewsImages/Training Dataset/UVZbVg1UABB-XR8FAA5UWl9XRntSS19d.jpg	Russia’s ethnic minorities are raising against Moscow – a timeless tactics of the West As creative and conscientious the USA is well known. Nevertheless, they repeatedly surprise new ideas that are not so new: split up Russia, overthrow the president and, more recently, also raise individual populations against the government.
/content/MediaEval_NewsImages/Training Dataset/UVZbUV8PVkZ-XR8FAA5VC1tTRChQTwNd.jpg	North Korea fired two ballistic missiles in the Japanese Sea North Korea has fired two ballistic missiles to the Japanese sea. The launches took place at a distance of ten minutes, told the Japanese Ministry of Defense. Pjöngjang has launched rockets for the second time within three days.
/content/MediaEval_NewsImages/Training Dataset/UVZbUV0JXUspUUFXBgtRUVsERnkATgUD.jpg	The Destruction of Nord Stream: A Declaration of War to Germany? With the sabotage of Nord Stream, the EU became a war scene. It has become clear that it is not about Ukraine. We are dealing with a US war against Russia, which is mainly directed against Germany. Neither the FRG nor the EU are independent actors in this geopolitical game.
/content/MediaEval_NewsImages/Training Dataset/UVZbUVwJBxZ-XR8FAA5SWwlQRHIBGgYA.jpg	AstraZeneca in court: Not ready to pay compensation for vaccination damage After a medically confirmed vaccine damage, a citizen with sine vein thrombosis accused AstraZeneca. The Group refused to pay extrajudicially on the grounds that it had sufficiently informed about the risk of vaccination.
